id,upso_num,upso_name,dong_name,address,area,tell_num,upjong,code,item,price,check_date,gu_name
3081,1.49E+12,황금돈삼겹살,자양동,서울특별시 광진구 뚝섬로45길 15 (자양동),,3437-3353,한식,1.42E+12,삼겹살,12000,00:00.0,광진구
3082,1.49E+12,황금돈삼겹살,자양동,서울특별시 광진구 뚝섬로45길 15 (자양동),,3437-3353,한식,1.42E+12,김치찌개 백반,6000,00:00.0,광진구
3083,1.47E+12,한우특수부위,중곡동,서울특별시 광진구 면목로 195 (중곡동 진웅빌딩),,02-438-5080,한식,1.42E+12,쇠고기(외식),28000,00:00.0,광진구
3084,1.47E+12,육광,자양동,서울특별시 광진구 아차산로 348 (자양동 운진빌딩),,02-446-5565,한식,1.42E+12,삼겹살,14440,00:00.0,광진구
3085,1.47E+12,강원도보리밥,중곡동,서울특별시 광진구 면목로 94 (중곡동),,02-466-1021,한식,1.42E+12,된장찌개 백반,5000,00:00.0,광진구
3086,1.46E+12,강남면옥,구의동,서울특별시 광진구 구의강변로 106 (구의동 삼성쉐르빌),,02-446-5539,한식,1.42E+12,갈비탕,11000,00:00.0,광진구
3087,1.46E+12,강남면옥,구의동,서울특별시 광진구 구의강변로 106 (구의동 삼성쉐르빌),,02-446-5539,한식,1.42E+12,냉면(물),9000,00:00.0,광진구
3088,1.45E+12,장수원,구의동,서울특별시 광진구 광나루로36길 22 (구의동),,02-456-6426,한식,1.42E+12,삼계탕,13000,00:00.0,광진구
3089,1.45E+12,신기소,자양동,서울특별시 광진구 아차산로 262 (자양동 더샵스타시티),,02-2024-8900,경양식,1.42E+12,돈가스,6900,00:00.0,광진구
3090,1.45E+12,만나닭한마리,광장동,서울특별시 광진구 광장로 61 (광장동 서령하이빌),,02-452-2662,한식,1.42E+12,칼국수,6000,00:00.0,광진구
3091,1.45E+12,부림정,자양동,서울특별시 광진구 능동로 18 (자양동 이튼타워리버3차),,02-463-5455,한식,1.42E+12,갈비탕,9000,00:00.0,광진구
3092,1.45E+12,부림정,자양동,서울특별시 광진구 능동로 18 (자양동 이튼타워리버3차),,02-463-5455,한식,1.42E+12,된장찌개 백반,6000,00:00.0,광진구
3093,1.45E+12,부림정,자양동,서울특별시 광진구 능동로 18 (자양동 이튼타워리버3차),,02-463-5455,한식,1.42E+12,삼겹살,13000,00:00.0,광진구
3094,1.45E+12,부림정,자양동,서울특별시 광진구 능동로 18 (자양동 이튼타워리버3차),,02-463-5455,한식,1.42E+12,돼지갈비(외식),9330,00:00.0,광진구
3095,1.44E+12,전주식당,중곡동,서울특별시 광진구 동일로68길 14 (중곡동),,02-6368-7001,한식,1.42E+12,갈비탕,9000,00:00.0,광진구
3096,1.44E+12,전주식당,중곡동,서울특별시 광진구 동일로68길 14 (중곡동),,02-6368-7001,한식,1.42E+12,불고기,7000,00:00.0,광진구
3097,1.44E+12,전주식당,중곡동,서울특별시 광진구 동일로68길 14 (중곡동),,02-6368-7001,한식,1.42E+12,쇠고기(외식),35000,00:00.0,광진구
3098,1.44E+12,전주식당,중곡동,서울특별시 광진구 동일로68길 14 (중곡동),,02-6368-7001,한식,1.42E+12,돼지갈비(외식),9600,00:00.0,광진구
3099,1.43E+12,보광식당,자양동,서울특별시 광진구 아차산로 340 (자양동),,02-456-3707,한식,1.42E+12,된장찌개 백반,6000,00:00.0,광진구
3100,1.43E+12,보광식당,자양동,서울특별시 광진구 아차산로 340 (자양동),,02-456-3707,한식,1.42E+12,삼겹살,14000,00:00.0,광진구
3101,1.43E+12,보광식당,자양동,서울특별시 광진구 아차산로 340 (자양동),,02-456-3707,한식,1.42E+12,김치찌개 백반,6000,00:00.0,광진구
3102,1.42E+12,이모네김밥,자양동,서울특별시 광진구 자양로15길 98 (자양동),,02-455-7477,한식,1.42E+12,조리라면,2500,00:00.0,광진구
3103,1.42E+12,이모네김밥,자양동,서울특별시 광진구 자양로15길 98 (자양동),,02-455-7477,한식,1.42E+12,냉면(물),4000,00:00.0,광진구
3104,1.42E+12,이모네김밥,자양동,서울특별시 광진구 자양로15길 98 (자양동),,02-455-7477,한식,1.42E+12,비빔밥,4000,00:00.0,광진구
3105,1.42E+12,이모네김밥,자양동,서울특별시 광진구 자양로15길 98 (자양동),,02-455-7477,한식,1.42E+12,김밥,1500,00:00.0,광진구
3106,1.42E+12,도도한김밥,자양동,서울특별시 광진구 아차산로 272 (자양동 더샵스타시티),,02-3437-1111,한식,1.42E+12,조리라면,3800,00:00.0,광진구
3107,1.42E+12,도도한김밥,자양동,서울특별시 광진구 아차산로 272 (자양동 더샵스타시티),,02-3437-1111,한식,1.42E+12,김밥,3000,00:00.0,광진구
3108,1.42E+12,생고기대학교,자양동,서울특별시 광진구 뚝섬로 613 (자양동),,02-447-3860,한식,1.42E+12,삼겹살,12000,00:00.0,광진구
3109,1.42E+12,생고기대학교,자양동,서울특별시 광진구 뚝섬로 613 (자양동),,02-447-3860,한식,1.42E+12,냉면(물),5000,00:00.0,광진구
3110,1.42E+12,마포종점,중곡동,서울특별시 광진구 동일로76길 51 (중곡동),,02-458-5068,한식,1.42E+12,삼겹살,12000,00:00.0,광진구
3111,1.42E+12,마포종점,중곡동,서울특별시 광진구 동일로76길 51 (중곡동),,02-458-5068,한식,1.42E+12,돼지갈비(외식),11000,00:00.0,광진구
3112,1.42E+12,동서울영계백숙,구의동,서울특별시 광진구 광나루로54길 9 (구의동),,02-452-5853,한식,1.42E+12,삼계탕,15000,00:00.0,광진구
3113,1.42E+12,동서울영계백숙,구의동,서울특별시 광진구 광나루로54길 9 (구의동),,02-452-5853,한식,1.42E+12,된장찌개 백반,6000,00:00.0,광진구
3114,1.42E+12,동서울영계백숙,구의동,서울특별시 광진구 광나루로54길 9 (구의동),,02-452-5853,한식,1.42E+12,김치찌개 백반,6000,00:00.0,광진구
3115,1.42E+12,동서울영계백숙,구의동,서울특별시 광진구 광나루로54길 9 (구의동),,02-452-5853,한식,1.42E+12,칼국수,7000,00:00.0,광진구
3116,1.42E+12,장수옥가마솥설렁탕,중곡동,서울특별시 광진구 용마산로 124 (중곡동),,02-444-6888,한식,1.42E+12,설렁탕,10000,00:00.0,광진구
3117,1.42E+12,옛집,광장동,서울특별시 광진구 아차산로76가길 18 (광장동),,02-2201-4369,한식,1.42E+12,삼겹살,14000,00:00.0,광진구
3118,1.42E+12,지호한방삼계탕,자양동,서울특별시 광진구 동일로 88 (자양동) (자양4-1),,02-463-8683,한식,1.42E+12,삼계탕,14000,00:00.0,광진구
3119,1.42E+12,신선설농탕,광장동,서울특별시 광진구 천호대로 813 (광장동),,02-446-9944,한식,1.42E+12,설렁탕,8000,00:00.0,광진구
3120,1.42E+12,함포비빔밥,자양동,서울특별시 광진구 아차산로 272 (자양동 더샵스타시티),,02-2024-1499,한식,1.42E+12,냉면(물),5500,00:00.0,광진구
3121,1.42E+12,함포비빔밥,자양동,서울특별시 광진구 아차산로 272 (자양동 더샵스타시티),,02-2024-1499,한식,1.42E+12,비빔밥,8000,00:00.0,광진구
3122,1.42E+12,본댁돌솥설렁탕,구의동,서울특별시 광진구 광나루로 542 (구의동),,02-454-4496,한식,1.42E+12,삼겹살,13000,00:00.0,광진구
3123,1.42E+12,본댁돌솥설렁탕,구의동,서울특별시 광진구 광나루로 542 (구의동),,02-454-4496,한식,1.42E+12,설렁탕,8000,00:00.0,광진구
3124,1.42E+12,서가네생고기,자양동,서울특별시 광진구 아차산로 242(자양4-1),,02-463-4350,한식,1.42E+12,삼겹살,14000,00:00.0,광진구
3125,1.42E+12,서가네생고기,자양동,서울특별시 광진구 아차산로 242(자양4-1),,02-463-4350,한식,1.42E+12,김치찌개 백반,7000,00:00.0,광진구
3126,1.42E+12,서가네생고기,자양동,서울특별시 광진구 아차산로 242(자양4-1),,02-463-4350,한식,1.42E+12,냉면(물),6000,00:00.0,광진구
3127,1.42E+12,서가네생고기,자양동,서울특별시 광진구 아차산로 242(자양4-1),,02-463-4350,한식,1.42E+12,돼지갈비(외식),14000,00:00.0,광진구
3128,1.42E+12,정마루왕돌구이삼겹살,중곡동,서울특별시 광진구 능동로38길 10-1 (중곡동),,02-3437-5294,한식,1.42E+12,삼겹살,14000,00:00.0,광진구
3129,1.42E+12,정마루왕돌구이삼겹살,중곡동,서울특별시 광진구 능동로38길 10-1 (중곡동),,02-3437-5294,한식,1.42E+12,쇠고기(외식),28000,00:00.0,광진구
3130,1.42E+12,구이가,화양동,서울특별시 광진구 동일로24길 100 (화양동),,02-468-0292,한식,1.42E+12,삼겹살,17600,00:00.0,광진구
3131,1.42E+12,홍천화로참숯불갈비,능동,서울특별시 광진구 천호대로110길 27 (능동),,02-454-9285,한식,1.42E+12,갈비탕,7000,00:00.0,광진구
3132,1.42E+12,김밥나라,신림동,서울특별시 관악구 신림로 359 (신림동),,885-3933,한식,1.42E+12,김밥,2500,00:00.0,관악구
3133,1.42E+12,홍천화로참숯불갈비,능동,서울특별시 광진구 천호대로110길 27 (능동),,02-454-9285,한식,1.42E+12,된장찌개 백반,5000,00:00.0,광진구
3134,1.42E+12,홍천화로참숯불갈비,능동,서울특별시 광진구 천호대로110길 27 (능동),,02-454-9285,한식,1.42E+12,삼겹살,14000,00:00.0,광진구
3135,1.42E+12,홍천화로참숯불갈비,능동,서울특별시 광진구 천호대로110길 27 (능동),,02-454-9285,한식,1.42E+12,냉면(물),5000,00:00.0,광진구
3136,1.42E+12,홍천화로참숯불갈비,능동,서울특별시 광진구 천호대로110길 27 (능동),,02-454-9285,한식,1.42E+12,쇠고기(외식),36000,00:00.0,광진구
3137,1.42E+12,천국김밥,군자동,서울특별시 광진구 능동로 297 (군자동),,02-465-7988,한식,1.42E+12,된장찌개 백반,5000,00:00.0,광진구
3138,1.42E+12,천국김밥,군자동,서울특별시 광진구 능동로 297 (군자동),,02-465-7988,한식,1.42E+12,조리라면,3000,00:00.0,광진구
